gene,log2FoldChange,logCPM,LR,pvalue,padj,FC
Sult1a1,-2.26751134024466,4.53633201823126,45.2180912435865,1.76269220039263e-11,7.47923859797365e-09,-4.81491837261418
Il1a,1.54804943820668,7.99474265885632,44.5780365531709,2.44418229467143e-11,9.98674780548713e-09,2.9242151019505
Serpinb2,-6.55320830160061,3.065799577607,43.8828229423273,3.48635164517162e-11,1.37362254819762e-08,-93.9100921313868
Gla,1.3134212861996,5.55937618993599,43.5748218129602,4.08055448356996e-11,1.55229920906013e-08,2.48530219901577
Igf1,2.95324737928035,4.90611551881322,42.5146031130878,7.0156470200588e-11,2.57988726417629e-08,7.74490412194983
Ccl7,1.46692130787562,8.04467796341701,42.0911661827655,8.71158368386681e-11,3.10019971614254e-08,2.76431362883842
Rogdi,-1.17320344528744,7.08509743634001,41.9503275593114,9.36216990543922e-11,3.22760807490017e-08,-2.25511881314831
Slc46a3,-1.67243201003624,5.42515462172648,40.6464581960445,1.82417585611341e-10,6.09827516504339e-08,-3.18751473250057
P2ry12,-2.23714993277105,9.70613927728212,40.3651520802098,2.10665281792696e-10,6.835468790403e-08,-4.71464757778822
Cst3,-1.63321384024498,12.5020217518961,38.8422955642819,4.59463774915825e-10,1.44822981853468e-07,-3.10203258315398
Cd72,1.19381252172439,9.17134188691385,38.7241850318511,4.88123334273214e-10,1.49582683991725e-07,2.28756465797713
Pdpn,3.01311913936728,4.90504937554092,38.1811699706697,6.44715831281744e-10,1.9222986623514e-07,8.07307972716813
Ltc4s,-1.90596912772042,4.89256501766453,37.355205254289,9.84577461587958e-10,2.85838383058904e-07,-3.74760559149387
G0s2,-5.88431466157132,2.59129144125767,36.9955924679152,1.18396576860753e-09,3.32157894864059e-07,-59.0684013438621
Plk2,1.51611137563203,7.45908745187536,36.9623194054354,1.20434334613509e-09,3.32157894864059e-07,2.86019077008515
Thrsp,-3.34395610430616,3.58664430753153,36.4843257362101,1.53898863156624e-09,4.14100550815581e-07,-10.1538581403793
Adgre5,-2.24685894788766,5.80241736086232,36.2857329052939,1.70406775453779e-09,4.47601796858593e-07,-4.74648310488467
P2ry10,-1.88875781468436,5.35803176350157,35.6711618166108,2.33596509339028e-09,5.99310858378641e-07,-3.70316238780368
Fblim1,1.21510218268118,5.10857049265852,34.6746966338082,3.89663623747933e-09,9.58306520728907e-07,2.32157225442218
