gene,log2FoldChange,logCPM,LR,pvalue,padj,FC
Serpina3g,10.9746026379249,7.0412106921494,333.6001040776,1.58012907487171e-74,4.05394975674064e-72,2012.26227128033
Gbp3,3.86192837785427,7.37581633834272,326.708414329068,5.00852508119779e-73,1.25577383399486e-70,14.5397280249919
Ms4a4c,6.91432430098644,8.18212342723658,326.591949952097,5.30978243063507e-73,1.30172266166147e-70,120.619913959738
Il18bp,4.92131205219195,6.66555206526308,320.56154920377,1.0929089851792e-71,2.62108085315151e-69,30.3013896237158
Dhx58,3.70794980429972,7.11308238270102,318.70958712862,2.76683238057756e-71,6.49440315373013e-69,13.0678491800679
Rnf213,3.47624769423437,8.76290163122994,318.430143497702,3.18311671535014e-71,7.31586325077973e-69,11.1289663258701
Oas3,7.86833894648723,7.75245936324121,317.660955386671,4.6816781596096e-71,1.05404639707782e-68,233.671657391592
Xdh,5.14739373230573,7.03719096205301,315.723543937567,1.23715831967509e-70,2.72966611653111e-68,35.4421380548864
Usp18,5.83085000937264,7.24958385874953,315.601914990367,1.31498203029712e-70,2.84448661926233e-68,56.9194576143474
Cd40,6.55857052829762,6.45529004082311,315.183659479566,1.62191846637987e-70,3.44096240790438e-68,94.2597877924619
Pla2g7,4.26002987357602,6.57117865501276,310.501250939738,1.69836420917974e-69,3.53516112371149e-67,19.1600560129556
Cd52,3.01248879162229,7.84155512757497,307.960407582734,6.07492373666054e-69,1.24108441968221e-66,8.06955317727391
Ifi44,7.82261474958262,6.13972133487547,307.521901832659,7.56952420400466e-69,1.51830892761053e-66,226.381891429908
Gm4951,5.44117267781543,6.48875522394149,306.470974700153,1.28236924758649e-68,2.52626741774538e-66,43.4466392227824
Phf11b,4.63483599614066,6.84866004005224,302.912467363912,7.64280650484512e-68,1.47921826949915e-65,24.8441795826605
Tgtp1,7.57618904350303,7.25506302893839,302.582926071615,9.01668039124028e-68,1.7150347944166e-65,190.8359340531
Pfkp,4.82487798983681,7.0712555393174,300.964267814483,2.03091149008034e-67,3.79746026416378e-65,28.3421635847835
Ifi207,5.06355457071037,7.89673295045792,300.585466026987,2.45594394551894e-67,4.5156622678275e-65,33.441196708022
Stat2,3.40042655260033,8.27080052224352,300.532349735222,2.52226451863349e-67,4.56157740484666e-65,10.5591847926879
Ifit1,5.82640827011097,7.48900992531684,300.394461739388,2.70291027126186e-67,4.80943646976788e-65,56.7444846706629
Dnase1l3,7.40296342288191,7.08336675048772,297.288660958846,1.28377711683238e-66,2.24803637347537e-64,169.244298497934
Ube2l6,3.50553255538854,7.09697647480792,295.85646324552,2.63347438520576e-66,4.53945147149843e-64,11.357178456432
Il1rn,7.80913229920399,8.64445265957207,295.753943560544,2.77246277246326e-66,4.70550912397149e-64,224.276134468241
H2-K1,3.34246269577893,11.7352043727454,294.022821047718,6.60754987672019e-66,1.10446197333299e-63,10.1433527929839
H2-D1,3.36470808247423,11.7276415138571,285.904658377909,3.88075069633846e-64,6.38991666895611e-62,10.30096850858
Spon1,5.53483057017447,6.81630506311221,284.390853600218,8.29428837554248e-64,1.34562631410272e-61,46.360704033956
Tmsb10,3.57696840931419,7.50248508129325,283.917838948834,1.05160327216179e-63,1.68134598528825e-61,11.9336908987032
Ass1,6.73167890911217,7.56858793386101,280.104298697474,7.12635840008781e-63,1.12311408385384e-60,106.276507207105
Isg20,5.63107858274301,5.88705684888113,279.658054020489,8.91481327024748e-63,1.38518619714606e-60,49.5591171647999
Hcar2,4.89092035190192,6.83990548869148,276.285827512875,4.84169772474991e-62,7.41855684714459e-60,29.6697394380571
Cd300lf,5.45290377051802,7.0089952871458,276.223371846775,4.995839659385e-62,7.54987714004593e-60,43.801360318462
Lgals3,4.4296830453515,7.81491640916164,275.491655837783,7.21224527904845e-62,1.07520932322247e-59,21.5510020360125
Ccr7,11.3364975089104,7.40432100412914,275.453498504242,7.351671816574e-62,1.08138191307259e-59,2585.98377650656
Slfn2,3.8619948007936,7.71552388685166,274.203674779475,1.37645601204591e-61,1.99803456906454e-59,14.5403974621757
Axl,4.09139660295248,8.6638288893741,272.99622989879,2.5229409831444e-61,3.61468635403235e-59,17.0464167421046
Helz2,5.41134266711452,6.27378772768079,271.468718299198,5.43014789427709e-61,7.68017840636729e-59,42.5575344736137
Fcgr4,4.13654666168256,7.97604679660524,269.853942145455,1.22107392301105e-60,1.70517563527315e-58,17.5883307363278
