gene,log2FoldChange,logCPM,LR,pvalue,padj,FC
Ccl12,3.20552968674669,6.97446203281025,556.312771439774,5.32991070998404e-123,9.35072054383164e-121,9.22487707440145
Ctsd,1.46301882373151,15.1161305727406,552.965656586055,2.84998412810544e-122,4.91376573811284e-120,2.75684627598935
Xdh,6.14863927389413,6.08933604747879,533.505489599904,4.87882517838251e-118,8.26919521759747e-116,70.9455000235825
Ikbke,8.22405865809914,5.96744414107054,532.283059018179,9.00034084380754e-118,1.50005680730126e-115,299.011810204112
Oas2,6.35746893100059,6.05120451474243,530.724958046937,1.96440249379018e-117,3.22033195703308e-115,81.9952783919549
Ccl2,5.47683948658424,6.69080751483231,526.939707838964,1.30838508542561e-116,2.11029852488001e-114,44.5341294214687
Ifi207,4.59310869526653,6.31564559934846,526.267085298549,1.83260990319351e-116,2.90890460824367e-114,24.1358996010283
Chst2,4.2817949779778,6.42762602013477,523.829660572117,6.21375808261083e-116,9.70899700407943e-114,19.451304101188
Ctsz,1.4476976166247,11.626578411897,518.490076695524,9.01667899939698e-115,1.38718138452261e-112,2.72772388932098
Ifitm3,4.33117970378867,6.36946946786307,518.080327837502,1.1071168485393e-114,1.67744977051409e-112,20.1286666435871
Adrb2,-2.28374144907705,8.59350861791365,516.741738954378,2.16483086762494e-114,3.2310908472014e-112,-4.8693913341153
Tlr2,1.86481191601785,9.21499179666071,499.37488132529,1.3001206897413e-110,1.91194219079603e-108,3.64220446964787
Tuba1a,-2.3997813720502,7.94114885287486,481.07411373901,1.24743940727056e-106,1.80788319894284e-104,-5.27723186366827
Gbp4,7.32033545226401,5.84293238756052,480.14695283593,1.98502998717976e-106,2.8161712182217e-104,159.823467739022
Gpr34,-1.47447568895996,10.4982730268783,480.132475047879,1.99948156493741e-106,2.8161712182217e-104,-2.77882636196205
Grn,1.6287735678718,12.0990165889076,472.997955520758,7.13503391154387e-105,9.90976932158871e-103,3.0924999414169
Myo1e,3.14649654338819,6.77524058177085,472.92032291331,7.41804121551719e-105,1.0161700295229e-102,8.85502600235907
Lpl,2.56247299202381,8.15736398169727,461.952768429604,1.80691226905674e-102,2.44177333656317e-100,5.90719399708259
Cd72,3.13064692786404,6.7221433379815,461.609585852645,2.14594656016184e-102,2.86126208021579e-100,8.75827608277149
Gm4951,5.73368956772053,5.89513340381734,453.927677229629,1.0077492702923e-100,1.32598588196355e-98,53.2123630800068
Stat2,2.30629012870382,7.5836028755026,452.10944269331,2.50636803054651e-100,3.25502341629416e-98,4.94609561286655
Ifi27l2a,4.63959902345266,6.06534916035681,447.145473883747,3.01539211959875e-99,3.86588733281891e-97,24.926337665604
Ly9,3.03561206483028,6.8075434697591,444.551675161288,1.10621035945773e-98,1.40026627779459e-96,8.19993267614976
Sdc3,2.45935247233886,7.24051747191673,442.879761728313,2.55684070316506e-98,3.19605087895632e-96,5.49969827809143
Cyp4f18,4.0841191284783,6.19319477922741,438.851635251841,1.92475465390499e-97,2.37624031346295e-95,16.9606449775218
Lgals3,4.02473946090921,6.18949066392944,430.417284727574,1.31845757533815e-95,1.60787509187579e-93,16.2767353610528
Npc2,1.52196690519785,10.0391620235338,426.600646619936,8.92819707422648e-95,1.07568639448512e-92,2.8718231421067
Adora1,5.82018069606471,5.77360892246425,419.751633479286,2.76379746272701e-93,3.29023507467501e-91,56.5000678946373
Ifit3,3.49089300685801,7.23004545197692,419.514286372417,3.11291831432495e-93,3.66225684038229e-91,11.2425158033385
Scpep1,1.71613903322974,8.75661097600706,417.951727774888,6.81207628941762e-93,7.92101894118328e-91,3.28555941872686
Cxcl16,2.10997144176157,7.83735427917124,417.276939729932,9.55338048331212e-93,1.09808971072553e-90,4.31682749330213
Eef1a1,1.53190029762717,12.3355902414101,414.587269548587,3.6779775367431e-92,4.17951992811716e-90,2.89166474380845
Fcrls,-1.27269223479173,10.9309731576548,414.425962685476,3.98768195928675e-92,4.48054152728848e-90,-2.41612020912278
Rnf213,2.24311075094601,7.73505768515183,413.408051545561,6.64184248066949e-92,7.37982497852166e-90,4.73416749950556
Cd22,3.32906710570343,6.43403845259951,412.708184555539,9.43254578140655e-92,1.03654349246226e-89,10.0496064869708
Nampt,2.50485069909179,7.00088922803515,404.29585454631,6.39430632185262e-90,6.95033295853545e-88,5.67590600906351
